,OverallAccuracy,Frequency_Weighted_Intersection_over_Union,MeanIntersectionOverUnion,MatthewsCorrelationCoefficient
54,0.9507637023925781,0.9287192956170867,0.26664138087607425,0.90059376
55,0.8663253784179688,0.7789449524301688,0.46830454762134954,0.74903816
56,0.7472419738769531,0.6432023605563664,0.23987181692325465,0.5326795
57,0.9133415222167969,0.8490412823242282,0.39412588748342753,0.62508696
58,0.8363533020019531,0.7605989028583036,0.3070132854211119,0.58763134
59,0.9106864929199219,0.837121788696048,0.6394005298603191,0.8325477
60,0.44538116455078125,0.3631843920386211,0.15577899920500538,0.4583676
61,0.84222412109375,0.7360735938619416,0.3852525077707428,0.7566092
62,0.9597740173339844,0.9214105760516458,0.30404063738700426,0.8353468
63,0.9567680358886719,0.9398136630783147,0.22686260379669893,0.47578558
64,0.8336563110351562,0.7244320279527592,0.36972846248478924,0.51880914
65,0.9786720275878906,0.9581689952578629,0.46283983104068477,0.91152716
66,0.5134468078613281,0.28638072929286856,0.20428927685137657,0.33272284
67,0.7817420959472656,0.6731522255561826,0.2522963278663335,0.5458462
68,0.9093971252441406,0.8504795521380899,0.3351579968610677,0.8295175
69,0.8355140686035156,0.7954677709281937,0.3763099728291095,0.7463501
70,0.9959030151367188,0.9923812788502525,0.20025010924072495,0.009936762
71,0.758056640625,0.6476329881811045,0.29089045577445377,0.64349735
72,0.8045921325683594,0.6916380851391372,0.320502615099245,0.6882521
73,0.8771820068359375,0.7985368975102374,0.39978361189147843,0.7905874
74,0.7833328247070312,0.6714859331052307,0.26977270670276343,0.6983379
75,0.5673828125,0.38146011334748775,0.24971108697793556,0.42930797
76,0.7151756286621094,0.5633263732456579,0.36549643686744065,0.6324816
77,0.9476737976074219,0.9044588477170998,0.2728943968419124,0.8862251
78,0.8281593322753906,0.7057722366112078,0.3413296118163218,0.7363539
79,0.7761650085449219,0.6342242396925615,0.5333184083994051,0.69391567
80,0.8880882263183594,0.8162877262502722,0.45880285273131854,0.83854765
81,0.8305511474609375,0.7111346452778837,0.5945590314043347,0.7627184
82,0.7969284057617188,0.6821617776148204,0.2517112550620563,0.6822897
83,0.7681236267089844,0.6635018974742294,0.3203387575252039,0.606828
84,0.6318321228027344,0.5424590922704453,0.2719475980687818,0.46543044
85,0.7347183227539062,0.5852616282264907,0.33279517703569145,0.6335314
86,0.8420562744140625,0.7359427258357971,0.299012289871015,0.7774854
87,0.8059349060058594,0.6787697939658102,0.31406230107941546,0.7433906
88,0.8725509643554688,0.7734476130657909,0.26815341546319027,0.71927863
89,0.7105216979980469,0.5825776141421571,0.3585110013080089,0.52844864
90,0.6829032897949219,0.5115448424266558,0.24682066881580073,0.5052533
91,0.9097061157226562,0.8427142703855912,0.4655308101470661,0.8698123
92,0.9274940490722656,0.8673321396051523,0.3069180262037444,0.80789286
93,0.7562255859375,0.6506514737804938,0.258250379512279,0.58853275
94,0.7978515625,0.688911599562776,0.31403597357161844,0.7264734
95,0.7729263305664062,0.6015872174144914,0.2100109717979785,0.43396804
96,0.9234390258789062,0.8939185687801908,0.32477424659891324,0.8398149
97,0.8787040710449219,0.8126892680897839,0.3142589748519619,0.7785966
98,0.8326225280761719,0.7346932046466055,0.40713152789096346,0.75299585
99,0.9512100219726562,0.9101566171589137,0.3102888599208198,0.8979042
100,0.6528396606445312,0.5825416205806514,0.32165749315117154,0.5886544
101,0.9025611877441406,0.8657057865947534,0.3844558750810102,0.6117524
102,0.9020614624023438,0.8318908746746808,0.5397073446808052,0.86246324
103,0.5869026184082031,0.49709279062993655,0.2340702687806419,0.51399285
104,0.8457489013671875,0.8136109556636639,0.3405436482817583,0.79559124
105,0.5428504943847656,0.31273286455588734,0.22425619241976327,0.34380326
106,0.87255859375,0.7736197538511009,0.30221208632698193,0.81498694
107,0.9970626831054688,0.9941340151239939,0.7252843177551073,0.67244166
108,0.7137794494628906,0.7001691042205702,0.28901724193654077,0.549548
109,0.795654296875,0.6727496434765817,0.2530851589820127,0.6259989
110,0.6643486022949219,0.5144229684986719,0.333006974618656,0.56321627
111,0.8921546936035156,0.8145245800535997,0.3048696986602059,0.79347694
112,0.7578086853027344,0.6070876498849875,0.3452121722806093,0.6476684
113,0.7463607788085938,0.5946013772166079,0.566661985072902,0.6245446
114,0.8536643981933594,0.7672226065504676,0.36556069556400533,0.7868597
115,0.7268104553222656,0.5796046850828956,0.39346117609536335,0.6708626
116,0.8811416625976562,0.8058006348645467,0.2292509245294771,0.6446781
117,0.8983573913574219,0.8266586239526933,0.33640176197399635,0.8448605
118,0.876739501953125,0.7825695417857559,0.24477307821996544,0.74834675
119,0.8733863830566406,0.7855199100118916,0.33067019283267257,0.78775674
120,0.9455184936523438,0.8964632326539079,0.5482996000151619,0.9048105
121,0.7852935791015625,0.6522721315452417,0.32411147903644916,0.6893743
122,0.8668289184570312,0.7881457811049833,0.29465662578087987,0.7631483
123,0.8596725463867188,0.7843625623888302,0.35324384508011586,0.6134545
124,0.8555526733398438,0.7493199228156238,0.5618286207625259,0.7881563
125,0.9505500793457031,0.9062020911195297,0.4536257486181264,0.9073594
126,0.6223297119140625,0.44288670976173355,0.4767014584327621,0.50172484
127,0.8647079467773438,0.7817288496977766,0.31036266348330005,0.7831073
128,0.893951416015625,0.8119893867448419,0.486037444730931,0.7715599
129,0.8183097839355469,0.7317824331681171,0.41759772120637184,0.7222047
130,0.7067031860351562,0.5726968178168015,0.296276028481483,0.589031
131,0.8807601928710938,0.8369239073227418,0.23375328046896132,0.7419736
132,0.7903404235839844,0.6931772272173763,0.3440298698498574,0.6839262
133,0.8204154968261719,0.7212945340948957,0.3340869487629964,0.7480588
134,0.974517822265625,0.9498433814448405,0.4879015703571305,0.9186181
135,0.9338798522949219,0.8745175220934909,0.2616015230210198,0.8456545
136,0.9981918334960938,0.9964285420422544,0.967571728163902,0.96658
137,0.9471855163574219,0.9015842767866098,0.6538690406397968,0.90618545
138,0.775421142578125,0.627095314184533,0.255701368379807,0.6363823
139,0.9372406005859375,0.8833288083239998,0.3091870468241475,0.7639384
140,0.6389732360839844,0.5695474268412011,0.43840952883938655,0.58979213
141,0.6473197937011719,0.5636857315675275,0.3946252493376593,0.58275694
142,0.7091636657714844,0.5604258101099406,0.37044235154504035,0.63697004
143,0.801361083984375,0.6617819009587311,0.43711000407079564,0.7253793
