,F1Score_class0,Recall_class0,Precision_class0,F1Score_class1,Recall_class1,Precision_class1,F1Score_class2,Recall_class2,Precision_class2,F1Score_class3,Recall_class3,Precision_class3,F1Score_class4,Recall_class4,Precision_class4,F1Score_class5,Recall_class5,Precision_class5,F1Score_class6,Recall_class6,Precision_class6
275,0.9568110584264246,0.9271118863404214,0.9884759722360599,0.985569842088582,0.9886048410662789,0.9825534208553532,0.9387486897069637,0.9288235293830085,0.9488882563178037,,0.0,,,0.0,,0.8194759645141325,0.9056087547170047,0.7483044461190655,0.9443643943315194,0.9608574356365048,0.928428001650392
276,0.9720171742227269,0.9620784854868453,0.9821633482978681,0.9717982225451547,0.9875903720575341,0.9565031755350376,0.8805359341362258,0.8542887266498381,0.9084471062416621,,0.0,,,0.0,,0.7717894210328874,0.7971276540374476,0.7480124103160752,0.8684482886079692,0.8895577767344556,0.8483174465626805
277,0.9872631063129864,0.984745608576827,0.9897935089763803,0.9781062551169876,0.9821596349046782,0.9740861944644739,0.8882371794871796,0.8766884944836706,0.900094189483257,,0.0,,,0.0,,,0.0,,0.7413965744400527,0.7768941903272704,0.7090011087591976
278,0.9709261364170104,0.9541560503497996,0.988296265131667,0.9616556422661566,0.9871584246312998,0.937437380127673,0.8810340883093113,0.8425642307844955,0.9231849315068493,,0.0,,,0.0,,0.762354517290463,0.7834647024134008,0.742352097058248,0.7829876060013046,0.9038554216322978,0.690632911392405
279,0.9725560679827376,0.965547668517088,0.9796669518333565,0.9636156371334779,0.9980115401509452,0.9315116163457395,0.8968085460098514,0.8610427041640577,0.9356744273636427,,0.0,,,0.0,,0.767487352445194,0.819415937459241,0.7217482317866092,0.8072826830937714,0.8467149092093548,0.7713598074608905
280,0.9756360451799789,0.9713608620588128,0.9799490267722218,0.9687511722999587,0.9886525474190494,0.9496352082843021,0.8834363800850699,0.8515774056076281,0.9177718006500992,,0.0,,,0.0,,0.7541071909507137,0.7822685788496082,0.7279029462738301,0.8109419332481427,0.8711088362165041,0.75854943273906
281,0.994808111500099,0.9927752142124515,0.99684935133704,,0.0,,0.9991239274799206,0.9994692688799813,0.9987788246410012,,0.0,,,0.0,,,0.0,,,0.0,
282,0.9930655418144633,0.9888941924904091,0.9972722313147845,,0.0,,0.9960432994135722,0.993712768680317,0.9983847873157784,,0.0,,,0.0,,0.4425634824667472,0.9631578930470914,0.28728414442700156,,0.0,
283,0.9908894601542416,0.9856798002951729,0.9961544823023487,,0.0,,0.9815102540404167,0.97821638227148,0.9848263831451043,,0.0,,,0.0,,0.9056057770167125,0.9253200954610102,0.8867139774883672,,0.0,
284,0.9477169908119957,0.9030308416226974,0.9970559371933267,,0.0,,0.9684250258605656,0.9646433398648144,0.972236479194148,,0.0,,,0.0,,0.851334029624003,0.8795399367074689,0.8248809770233906,,0.0,
285,0.813159528243327,0.6862231533936324,0.9977151561309977,,0.0,,0.967016566576439,0.9595257409073953,0.9746252712561856,,0.0,,0.5973835072762017,0.9951028398652777,0.42680109220751944,0.8598295902050168,0.8913355435476438,0.8304748732134625,,0.0,
286,0.9904387161200413,0.9853499406807136,0.9955803257075224,0.982010997215274,0.98864322158349,0.9754671632418855,0.9212403153808001,0.9075347081511141,0.9353662348487479,,0.0,,,0.0,,,0.0,,0.752689714531631,0.8133622692895113,0.7004405286343612
287,0.8627533340333927,0.7806917520371167,0.9640929359305327,,0.0,,0.9545183624095586,0.9438440305326942,0.965436897155183,,0.0,,0.894379093081722,0.990444765175607,0.8153010411951109,0.856709131316566,0.8546644051161942,0.8587636646945682,,0.0,0.0
288,0.8547073597686278,0.8135323093576452,0.9002725669392336,,0.0,,0.9717682649986238,0.9543797391103546,0.9898021775801258,,0.0,,0.9140179566157678,0.9870139060547393,0.8510755148741419,0.49087258123402694,0.8437401942755758,0.34611919165915817,0.8930907023030993,0.8515656769890788,0.9388731131370498
